id,limit,n_cc,inc0,w0,c0,safety_score,deg,female,age,deb0,del
151,28.399868,3,17.85,63.20607,9.7713013,.66249341,4,0,41,0,0
152,13.59375,3,13.351283,43.717545,22.446079,.78606182,2,1,41,2.9396729,0
153,4.0625,3,15.410602,209.88596,19.542192,.52717322,1,1,56,0,0
154,37.5,3,12.542576,115.93248,13.595643,-1.0704778,4,0,47,0,0
155,5.4137597,3,3.1423795,124.44028,6.7565122,.72486567,2,0,22,.48747438,0
156,1.40625,2,5.1493869,17.030293,11.981537,1.4705896,3,1,23,0,0
157,6.875,2,3.7733967,10.754583,7.4528079,-.39278167,4,0,26,0,0
158,3.75,3,8.2474251,125.29213,8.9421701,.039834302,3,1,27,0,0
159,13.960008,2,8.3999996,35.660717,14.471792,.65440667,4,0,33,0,0
160,8.5991316,3,3.4000001,82.797508,7.053381,.38505602,1,0,37,0,0
161,4.21875,3,13.311271,123.21947,11.882679,1.0328453,1,1,46,0,0
162,18.75,3,3.5590439,65.882347,9.5645123,1.2298939,4,0,23,1.9219409,0
163,38.629059,3,37.525307,686.5672,22.492359,-2.1858265,5,0,39,.25512445,0
164,3.5728788,3,34.650002,598.37799,25.034975,1.1781929,4,0,39,0,0
165,14.0625,3,10.553917,145.46875,25.961187,.67235476,5,1,28,0,0
166,1.875,3,11.061051,161.05469,9.7733498,.53244287,5,0,34,0,0
167,12.96875,3,13.967763,73.649422,10.188416,-.7430079,5,1,39,.95287818,0
168,11.71875,3,15.518259,114.84375,11.232569,.11453629,3,1,47,0,0
169,1.875,2,5.9034057,32.8125,5.5231576,-.31591296,2,1,21,0,0
170,1.9665523,3,12.495,21.875,11.306169,.27643225,3,1,54,0,0
171,2.34375,3,12.324203,59.151936,10.112442,-.26828331,2,0,58,2.4277966,0
172,.8125,3,8.4704771,54.6875,10.238613,-.15232299,2,0,61,0,0
173,3.125,3,14.952484,175,15.496548,.0062541482,3,0,49,0,0
174,1.875,3,11.680907,26.25,12.024395,.79957503,3,0,56,0,0
175,25.28125,3,8.7460928,60.692924,11.533723,-.73577821,3,0,61,.6084944,0
176,1.171875,2,10.902649,31.617689,9.8312025,.52329248,2,0,37,2.3960156,0
177,20,3,11.705178,339.27304,13.491735,-.42249444,5,1,27,1.4635562,0
178,1.875,2,8.3699808,21.875,7.673872,-.23471543,2,0,34,0,0
179,11.595064,3,29.854408,46.905178,23.027613,-3.4803882,5,0,42,.9603731,0
180,.46875,3,25.339155,699.18726,23.167032,.95521069,5,0,52,1.2426404,0
181,1.0714481,3,11,114.29688,11.809458,-.11378118,2,1,41,0,0
182,8.875,3,13.458268,32.8125,8.9638996,-.002888927,5,1,49,0,0
183,27.473297,3,25.182583,174.64229,6.9233217,.31412834,4,0,28,.072438948,0
184,27.65625,3,4.8425646,33.122417,8.6174679,-3.27125,5,0,27,.45866242,0
185,2.655941,3,25.46978,383.17087,7.6820889,-.32339954,5,1,39,3.1450684,0
186,11.21875,2,5.7364717,75.952362,8.0071363,-1.7683368,3,0,22,2.2753735,0
187,9.6875,3,4.9208121,49.21875,6.13691,.54655468,4,1,21,0,0
188,28.125,2,9.4172802,7.577898,12.912805,.72936112,5,1,36,.71909577,0
189,2.34375,3,7.2519836,86.528091,8.3825159,.3395502,1,0,29,2.7065415,0
190,.9375,3,16.626728,166.25,10.137785,.50786811,1,1,52,0,0
191,56.311195,3,32.549999,765.625,19.387486,.31239939,4,1,53,0,0
192,7.2553558,3,9.1262474,108.32661,8.8800545,.16898015,3,0,44,2.4225101,0
193,3.125,3,7.4189715,103.90625,9.0198793,.22372386,3,1,24,0,0
194,8.6406031,2,4.0133853,16.723221,6.2427058,-2.0194888,5,0,41,2.0114946,0
195,2.1875,3,13.055022,109.375,11.720781,.73663843,1,1,46,0,0
196,1.875,3,11.2094,32.8125,10.047243,-.26689032,4,1,37,0,0
198,5.4733348,3,8.5,92.96875,13.552513,-1.3678752,3,1,56,0,0
200,3.28125,3,6.280232,111.37082,9.2632303,.40852472,1,1,23,2.8427339,0
201,52.53125,3,27.79073,869.53125,11.714478,-2.513592,5,0,41,0,0
202,6.09375,3,14.721867,146.41652,14.10249,1.0871347,3,0,48,1.3573319,0
203,3.125,3,14.080538,120.3125,9.8966646,.31109062,4,1,41,0,0
204,1.875,3,6.7638192,158.59375,8.9530659,-1.0423772,3,0,23,0,0
